fish_table_id,anem_table_id,"fish_obs_time","fish_spp",size,"color","sex",fin_id,"sample_id","tag_id","recap","fish_notes","fish_collector","fish_correction","fish_corr_date","fish_corr_editor","fish_corr_message"
4670,2685,NULL,"APCL",9,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4671,4507,NULL,"APCL",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4672,3650,NULL,"APCL",5,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4673,2662,NULL,"APCL",7,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4674,6511,NULL,"APCL",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4676,656,NULL,"APCL",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4677,3765,NULL,"APPE",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4678,6244,NULL,"APCL",1.5,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4679,1847,NULL,"APCL",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4680,4951,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4681,6235,NULL,"APCL",4,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4682,6233,NULL,"APCL",8,"W",NULL,NULL,NULL,NULL,NULL,"AGGRESSIVE FISH","MRS",NULL,NULL,NULL,NULL
4683,1244,NULL,"APOC",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4684,657,NULL,"APOC",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4685,2762,NULL,"APPE",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4687,6221,NULL,"APCL",7,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4688,1848,NULL,"APCL",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4689,6216,NULL,"APCL",2,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4692,1244,NULL,"APOC",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4693,657,NULL,"APOC",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4694,3339,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4696,6214,NULL,"APCL",6,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4698,6206,NULL,"APCL",4,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4699,4660,NULL,"APCL",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4700,6196,NULL,"APCL",6,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4702,657,NULL,"APOC",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4703,3501,NULL,"APPE",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4704,4612,NULL,"APCL",4,"YR",NULL,NULL,NULL,NULL,NULL,"THE LARGER 2 APCL ALSO SWAM TO ANEM 1152","MRS",NULL,NULL,NULL,NULL
4705,28,NULL,"APFR",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4707,6173,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4708,1850,NULL,"APCL",2,NULL,NULL,NULL,NULL,NULL,NULL,"bluish HECR","MLP",NULL,NULL,NULL,NULL
4709,4847,NULL,"APCL",5,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4710,424,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4711,6162,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4714,6152,NULL,"APCL",5,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4715,1851,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4716,4266,NULL,"APPE",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4717,1851,NULL,"APPE",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4718,6146,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4719,6129,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4720,6045,NULL,"APCL",2,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4721,11438,"14:37:00","APCL",5,"YR",NULL,NULL,NULL,NULL,NULL,"small juv not caught",NULL,NULL,NULL,NULL,NULL
4722,4935,NULL,"APCL",3,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4723,426,NULL,"APCL",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4724,6041,NULL,"APCL",7,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4725,1854,NULL,"APPE",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4726,6029,NULL,"APCL",2,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4727,1855,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4728,3198,NULL,"APCL",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4729,6010,NULL,"APCL",2.5,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4730,1856,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4731,3286,NULL,"APCL",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4732,5934,NULL,"APCL",3,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4733,1858,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4734,5928,NULL,"APCL",12,"O",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4735,1251,NULL,"APPE",9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4736,5895,NULL,"APCL",6,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4737,1252,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4738,5821,NULL,"APCL",5,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4739,438,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4740,4892,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4741,11478,"12:15:00","APCL",4,"YR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4742,1253,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4743,5792,NULL,"APCL",2,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4744,5771,NULL,"APCL",6,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4745,1864,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4746,5793,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4747,5690,NULL,"APCL",6,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4748,1865,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4749,439,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4750,3455,NULL,"APCL",11,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4752,11362,"11:38:00","APFR",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4753,2710,NULL,"APOC",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4754,5680,NULL,"APCL",11,"O",NULL,NULL,NULL,NULL,NULL,"ANEM MIGHT BE HADDONI, FISH ARE VERY DARK BODIED, DIDN'T SEE EGGS","MRS",NULL,NULL,NULL,NULL
4756,1256,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4757,5678,NULL,"APCL",10,"YP",NULL,NULL,NULL,NULL,NULL,"TWO OF THESE FISH COULD BE THE SAME FISH FROM 9:04","MRS",NULL,NULL,NULL,NULL
4760,1868,NULL,"APPE",9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4761,6233,NULL,"APCL",6,"W",NULL,NULL,NULL,NULL,NULL,"AGGRESSIVE FISH","MRS",NULL,NULL,NULL,NULL
4762,1869,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4763,5559,NULL,"APCL",4,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4764,6228,NULL,"APOC",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4765,2771,NULL,"APPO",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4767,5491,NULL,"APCL",3,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4769,5423,NULL,"APCL",3,"W",NULL,NULL,NULL,NULL,NULL,"Very clearly 1320 on data sheet","G_S",NULL,NULL,NULL,NULL
4770,6579,NULL,"APCL",3,"W",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4771,1871,NULL,"APPE",1,NULL,NULL,NULL,NULL,NULL,NULL,"had both anemone tags from last year!","MLP",NULL,NULL,NULL,NULL
4772,5405,NULL,"APCL",8,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4773,5396,NULL,"APCL",8,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4774,1872,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4775,5382,NULL,"APCL",9,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4776,1874,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4777,451,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4779,5368,NULL,"APCL",8,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4780,11404,"13:47:00","APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4781,5671,NULL,"APFR",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4782,5240,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4783,6587,NULL,"APCL",3,NULL,NULL,NULL,NULL,NULL,NULL,"The 3cm fish had an all yellow tail (no white stripe between the body and the tail)","MRS",NULL,NULL,NULL,NULL
4784,1878,NULL,"APFR",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4785,454,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4786,5023,NULL,"APFR",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4787,5230,NULL,"APCL",10,"O",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4788,5220,NULL,"APCL",7,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4789,5006,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4791,5163,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4792,1262,NULL,"APPE",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4793,5113,NULL,"APCL",3,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4794,5084,NULL,"APCL",4,"W",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4796,1883,NULL,"APCL",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4797,4951,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4798,5015,NULL,"APCL",5,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4799,5014,NULL,"APCL",7,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4800,1884,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4801,5012,NULL,"APCL",9,"YP",NULL,NULL,NULL,NULL,NULL,"AGGRESSIVE APCL","JAH",NULL,NULL,NULL,NULL
4802,481,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4803,4934,NULL,"APFR",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4804,5010,NULL,"APCL",4,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4805,4906,NULL,"APOC",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4806,28,NULL,"APFR",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4807,5004,NULL,"APCL",10,"O",NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4809,4998,NULL,"APCL",4,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4810,4990,NULL,"APCL",8,"O",NULL,NULL,NULL,NULL,NULL,"EGGS","PHF",NULL,NULL,NULL,NULL
4812,6603,NULL,"APCL",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4813,1889,NULL,"PRBI",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4814,4982,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4815,4978,NULL,"APCL",4,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4816,4971,NULL,"APCL",7,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4819,4933,NULL,"APCL",7,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4822,4929,NULL,"APCL",9,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4823,1891,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4826,1893,NULL,"APFR",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4827,4910,NULL,"APCL",5,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4828,3396,NULL,"APCL",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4830,1895,NULL,"APCL",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4831,4901,NULL,"APCL",4,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4832,4899,NULL,"APCL",8,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4833,3215,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4834,4879,NULL,"APCL",6,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4835,6620,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4836,1897,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4838,3424,NULL,"APCL",7,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4839,2749,NULL,"APFR",13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4841,4878,NULL,"APCL",7,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4843,1898,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4844,1289,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4845,4874,NULL,"APCL",1,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4846,6624,NULL,"APCL",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4847,1899,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4848,4858,NULL,"APCL",4,"W",NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4850,2820,NULL,"APCL",8,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4851,1901,NULL,"APFR",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4852,4838,NULL,"APCL",8,"BW",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4853,674,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4854,3653,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4855,4834,NULL,"APCL",10,"O",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4856,1901,NULL,"APFR",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4857,4832,NULL,"APCL",6,"O",NULL,NULL,NULL,NULL,NULL,NULL,"PHF",NULL,NULL,NULL,NULL
4858,2712,NULL,"APCL",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4859,6634,NULL,"APCL",2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4860,1902,NULL,"APCL",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4862,515,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4863,4996,NULL,"APFR",5,NULL,NULL,NULL,NULL,NULL,NULL,"PHF IS UNSURE OF ANEM ID","PHF",NULL,NULL,NULL,NULL
4864,11498,"14:43:00","APPE",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4865,33,NULL,"PRBI",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4866,10741,"14:16:00","APCL",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4867,4677,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4868,4827,NULL,"APCL",10,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4869,1295,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4870,674,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4871,4318,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4872,4823,NULL,"APCL",3,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4874,4815,NULL,"APCL",8,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4876,515,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4877,10595,"11:41:00","APCL",3,"W",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4878,675,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4879,3913,NULL,"APCL",10,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4880,1303,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4881,2896,NULL,"APCL",8,"W",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4884,4317,NULL,"APCL",7,"O",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4885,4811,NULL,"APCL",6,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4886,1308,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4887,4803,NULL,"APCL",9,"O",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4888,516,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4889,4229,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4890,4795,NULL,"APCL",8,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4891,675,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4892,3735,NULL,"APPE",9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4893,4212,NULL,"APCL",5,"W",NULL,NULL,NULL,NULL,NULL,NULL,"G_S",NULL,NULL,NULL,NULL
4894,4762,NULL,"APCL",7,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4896,3327,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4897,4761,NULL,"APCL",8,"YP",NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4900,534,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4901,4091,NULL,"APPE",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4902,3786,NULL,"APCL",9,"O",NULL,NULL,NULL,NULL,NULL,"CAN'T READ MALIN'S HANDWRITING IF OLD ANEM ID IS 672 OR 572; LARGEST FISH IS VERY DARK","MLP",NULL,NULL,NULL,NULL
4903,3138,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4904,1312,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4906,4758,NULL,"APCL",6,"YR",NULL,NULL,NULL,NULL,NULL,"KINKY TENTACLES, TOOK A PICTURE (MICR0087 1)","MRS",NULL,NULL,NULL,NULL
4909,4080,NULL,"APPE",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4911,4749,NULL,"APCL",12,"O",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4912,4898,NULL,"APFR",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JAH",NULL,NULL,NULL,NULL
4914,1906,NULL,"APPE",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4915,4744,NULL,"APCL",7,"YR",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4917,535,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4918,4031,NULL,"APPE",9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4920,1308,NULL,"APPE",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
4922,4740,NULL,"APCL",10,"O",NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4923,6644,NULL,"APFR",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
4924,1906,NULL,"APPE",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
